JobTitle,Company,Location,Salary,TypeofJob,Skills,MoreInfo,clean_jobtitle,Label
HOT Golang Developer - Upto $2000,SoBanHang,"Quận Bình Thạnh, Hồ Chí Minh - Quận Cầu Giấy, Hà Nội","Lên tới 2,000 USD",Phần Mềm,"PHP, Golang, Python",https://topdev.vn/viec-lam/golang-developer-upto-2000-sobanhang-2027015,golang -,Android
Fresher/Junior/ Intern Mobile dev (React Native),BMD Solution,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Gia công phần mềm,"Mobile, React Native",https://topdev.vn/viec-lam/fresher-junior-intern-mobile-dev-react-native-bmd-solution-2027014,// intern mobile dev ( react native ),Android
HOT Front-end Developer (ReactJS) Upto $2000,SoBanHang,"Quận Bình Thạnh, Hồ Chí Minh - Quận Cầu Giấy, Hà Nội","Lên tới 2,000 USD",Phần Mềm,"CSS, HTML5, JavaScript, NodeJS, Front-End, ReactJS, TypeScript",https://topdev.vn/viec-lam/front-end-developer-reactjs-upto-2000-sobanhang-2027018,front-end ( reactjs ),FrontEnd
IT Engineer,Punch Entertainment Vietnam,"Quận Cầu Giấy, Hà Nội",Thương lượng,Phần Mềm,"IT Helpdesk, IT Administrator",https://topdev.vn/viec-lam/it-engineer-punch-entertainment-vietnam-2027017,,Android
HOT Backend .NET Developer,Groove Technology,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,".NET, Back-End",https://topdev.vn/viec-lam/backend-net-developer-groove-technology-2027020,backend .net,FullStack
HOT Front-end Developer (React Native) Upto $2000,SoBanHang,"Quận Bình Thạnh, Hồ Chí Minh - Quận Cầu Giấy, Hà Nội","Lên tới 2,000 USD",Phần Mềm,"Mobile, Front-End, React Native",https://topdev.vn/viec-lam/front-end-developer-react-native-upto-2000-sobanhang-2027019,front-end ( react native ),FrontEnd
NHÂN VIÊN HỖ TRỢ KỸ THUẬT,Trung Tâm Công nghệ thông tin Mobifone,"Quận Cầu Giấy, Hà Nội","12,500,000 - 15,500,000 VND","Phần Mềm, Viễn Thông","IT Support, IT Helpdesk",https://topdev.vn/viec-lam/nhan-vien-ho-tro-ky-thuat-trung-tam-cong-nghe-thong-tin-mobifone-2027023,hỗ trợ thuật,Android
HOT .Net Developer,CÔNG TY TNHH 9PMP VIỆT NAM,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Tư vấn giám sát & Quản lý dự án,"C#, .NET, Software, ASP.NET MVC",https://topdev.vn/viec-lam/net-developer-cong-ty-tnhh-9pmp-viet-nam-2027060,.net,FullStack
"HOT 05 Front-end Developer (.NET, JS) - Up To 2000$",Báo điện tử Dân Trí,"Quận Đống Đa, Hà Nội","800 - 2,000 USD",Quảng Cáo Truyền Thông,"ASP.NET, C#, NodeJS, MS SQL, Redis, REST API, DevOps, ReactJS, Design Patterns, System Architect",https://topdev.vn/viec-lam/05-front-end-developer-net-js-up-to-2000-bao-dien-tu-dan-tri-2027050,front-end ( .net js ) -,FrontEnd
"[Junior] Nhân viên phát triển phần mềm (HTML5/CSS3, JavaScript)",jK Technologies,"Quận 10, Hồ Chí Minh","Lên tới 15,000,000 VND",Phần Mềm,"HTML5, JavaScript, Bootstrap, CSS3, TypeScript",https://topdev.vn/viec-lam/junior-nhan-vien-phat-trien-phan-mem-html5-css3-javascript-jk-technologies-2027021,( html/css javascript ),Android
HOT Fresher DevOps Engineer,Nash Tech,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Gia công phần mềm,"Java, C#, Python, Golang, DevOps",https://topdev.vn/viec-lam/fresher-devops-engineer-nash-tech-2027061,devops,Android
Java Developer,ATZINE,"Quận 7, Hồ Chí Minh","30,000,000 - 45,000,000 VND",Phần Mềm,"Java, Spring Boot",https://topdev.vn/viec-lam/java-developer-atzine-2027117,java,Android
